,FROMSYMBOL,TOSYMBOL,MKTCAP,PRICE,VOLUME24HOURTO,SUPPLY,CHANGEPCT24HOUR
20,HT,USD,1874725600.0,3.7494512,11088558.65299947,500000000.0,-0.800674252001681
21,HEDG,USD,1675863975.0837932,1.675863975,86545.45899859209,1000000000.05,-0.44934640522875735
22,THX,USD,1597193955.0,7.6056855,2745520.347570019,210000000.0,0.0
23,XTZ,USD,1581264519.9113157,1.95,6088786.230279601,810904882.005803,0.41194644696189536
24,OKB,USD,1389080880.0,4.6302696,29621278.66828686,300000000.0,-1.189666893269873
25,XTP,USD,1042515300.0,0.10425153,105403.5520358618,10000000000.0,-1.749837977965008
26,XLM,USD,973757470.8663,0.04815,1309591.590934142,20223415802.0,-0.289915096293231
27,HYN,USD,956555925.0000001,0.09565559250000001,699296.7610254106,10000000000.0,0.5057803468208171
28,XMR,USD,951502468.1276788,54.3,845089.705347466,17523065.7113753,1.9526849417949668
29,FTT,USD,909869455.5618705,2.6269185,579787.4816240618,346363793.0,1.4338821030270816
30,ADA,USD,857594054.969741,0.0330771675,2795708.120059916,25927070538.0,-0.6198347107438171
31,TRX,USD,833569415.9456519,0.012487552,16536955.84766625,66752027614.8321,-2.4996890933963374
32,USDC,USD,736731676.69,1.0,887433.160739409,736731676.69,0.0
33,NEO,USD,727431760.0000001,7.274317600000001,4231829.935633404,100000000.0,-1.8693596905887284
34,DASH,USD,686704083.1172134,72.75,688132.0672720165,9439231.38305448,-1.0069397196897467
35,LEO,USD,679436653.5,1.029449475,182630.7966604556,660000000.0,2.5342465753424603
36,ETC,USD,601045078.301199,5.259,940062.6188607767,114288853.071154,1.1346153846153877
37,ZB,USD,491722008.75,0.2341533375,14652150.19158066,2100000000.0,0.029377203290251456
38,BUX,USD,478143667.6742966,1.062457875,45318.59880460874,450035412.156267,-2.707808564231733
39,MB,USD,485842387.5,0.0971684775,2972264.065892383,5000000000.0,9.87558320373251
40,ATOM,USD,452503665.74700004,2.373,594913.0085367776,190688439.0,4.675782973092207
41,MIOTA,USD,441727656.92936397,0.1589216925,1024426.996186789,2779530283.0,-0.6875805758487379
