,FROMSYMBOL,TOSYMBOL,MKTCAP,PRICE,VOLUME24HOURTO,SUPPLY,CHANGEPCT24HOUR
1,BTC,USD,126016858776.37999,6876.74,303754314.21375436,18325087.0,0.21845739060734917
2,XRP,USD,18608483432.763397,0.1861,37353528.65591857,99991850794.0,-1.1158342189160566
3,ETH,USD,17602591613.43948,159.27,68524474.80519482,110520447.124,1.5882127822426386
4,GAPS,USD,7421982000.0,3.710991,2874057.579334628,2000000000.0,-4.272801972062455
5,CRO,USD,5020020200.0,0.050200202,2329174.196440732,100000000000.0,0.4126547455295759
6,USDT,USD,4647009781.414,1.001,12450779.17608607,4642367414.0,-0.09980039920160796
7,BCH,USD,4094943337.9730496,222.79,46915102.26809795,18380283.3967999,-0.3845293986139117
8,PLF,USD,3814516499.9999995,0.38145165,2006539.385142189,10000000000.0,-1.5213815789473935
9,CTAG,USD,3788400000.0,0.9471,214680.243888395,4000000000.0,-0.10547410610695082
10,BSV,USD,3488531434.6073613,189.81,1151288.0305723809,18379070.8319233,0.759103938847015
11,LINK,USD,3269000000.0,3.269,22115061.649274025,1000000000.0,-3.3697901271061155
12,ELAMA,USD,3282955676.0,0.3282955676,41117.94196748357,10000000000.0,0.167855644146041
13,LTC,USD,2672717767.708465,41.25,9017854.36953415,64793158.0050537,-0.1935639970965359
14,EOS,USD,2520744971.988334,2.47,1804970.3290756908,1020544523.0722,1.022494887525577
15,BRC,USD,2491222846.32,4.295211804,90.199447884,580000000.0,-0.5572361088998503
16,BNB,USD,2421706621.41,15.57,36362838.9855195,155536713.0,3.592814371257491
17,AION,USD,2100825344.4437435,0.06347231019999999,347318.1287653795,33098296530.0,-1.2834224598930555
18,NYE,USD,2050017135.5608425,5.510742,3356841.113827181,372003830.983349,4.848484848484821
19,FLC,USD,1911733720.0,1.91173372,112278.0139919828,1000000000.0,6.9230769230769225
20,HT,USD,1874607900.0,3.7492158,11087862.48532915,500000000.0,-0.800674252001681
21,HEDG,USD,1675861538.083793,1.675861538,86545.33314632322,1000000000.05,-0.4493464052287561
22,THX,USD,1597191632.3999999,7.60567444,2745516.355102141,210000000.0,0.0
23,XTZ,USD,1581264519.9113157,1.95,6088786.230279601,810904882.005803,0.41194644696189536
24,OKB,USD,1388993670.0,4.6299789,29619418.96972657,300000000.0,-1.1896668932699095
25,XTP,USD,1042513784.0,0.1042513784,105403.3987606198,10000000000.0,-1.7498379779650064
26,XLM,USD,973757470.8663,0.04815,1309591.590934142,20223415802.0,-0.289915096293231
27,HYN,USD,956554534.0000001,0.0956554534,699295.7441253328,10000000000.0,0.5057803468208291
28,XMR,USD,951500841.8037238,54.3,845089.705347466,17523035.7606579,1.9526849417949668
29,FTT,USD,909868132.4521812,2.62691468,579786.6385114263,346363793.0,1.4338821030270807
30,ADA,USD,857592807.8776479,0.03307711939999999,2795840.596959102,25927070538.0,-0.6198347107438468
31,TRX,USD,833517082.3560019,0.012486768,16532803.69140165,66752027614.8321,-2.499689093396341
32,USDC,USD,736731676.69,1.0,887433.160739409,736731676.69,0.0
33,NEO,USD,727386090.0000001,7.273860900000001,4231564.250680137,100000000.0,-1.8693596905887349
34,DASH,USD,687361435.9454424,72.82,688081.1115820166,9439184.78365068,-0.9116886651245092
35,LEO,USD,679435665.48,1.029447978,182630.531083262,660000000.0,2.5342465753424652
36,ETC,USD,601045078.301199,5.259,940052.1028607766,114288853.071154,1.1346153846153877
37,ZB,USD,491721293.7,0.234152997,14652128.88478575,2100000000.0,0.02937720329024792
38,BUX,USD,478142968.8672613,1.06245633,45318.53290342169,450035408.859827,-2.7078085642317324
39,MB,USD,485841681.0,0.0971683362,2972259.74369939,5000000000.0,9.8755832037325
40,ATOM,USD,452503665.74700004,2.373,594913.0085367776,190688439.0,4.675782973092207
41,MIOTA,USD,441727014.5799155,0.1589214614,1024425.506490353,2779530283.0,-0.6875805758487419
42,BTMX,USD,369968612.0,0.0369968612,336742.6928746712,10000000000.0,0.37313432835820476
43,ME,USD,340398629.99999994,0.034039863,1599921.36638957,10000000000.0,0.0
44,XEM,USD,332352844.1630719,0.0369280938,330080.5479624078,8999999999.0,-0.18587360594796268
45,ZEC,USD,319015549.0,35.68,264145.0628720022,8941018.75,-0.8888888888888897
46,APM,USD,318208249.6125,0.1755631722,536441.5521830616,1812500000.0,-0.5453837164004575
47,MKR,USD,293345564.83680296,291.6425434,445476.5166495829,1005839.41360869,-2.0328020328020324
48,EUM,USD,299044460.088,0.90019404,18732.317817168,332200000.0,-12.358505194603818
49,RSR,USD,275069600.0,0.002750696,29870.11911294829,100000000000.0,-4.761904761904769
50,PAX,USD,263161016.51841104,1.000087258258267,262048022.4252108,263138055.55,-0.29129715218132696
51,BTC,USD,126017202613.37999,6876.74,303753309.2492304,18325137.0,0.21845739060734917
52,XRP,USD,18608483432.763397,0.1861,37353528.65591857,99991850794.0,-1.1158342189160566
53,ETH,USD,17602634596.43073,159.27,68524474.80519482,110520716.999,1.5882127822426386
54,GAPS,USD,7421982000.0,3.710991,2874057.579334628,2000000000.0,-4.272801972062455
55,CRO,USD,5020020200.0,0.050200202,2329174.268252121,100000000000.0,0.4126547455295759
56,USDT,USD,4647009781.414,1.001,12450779.17608607,4642367414.0,-0.09980039920160796
57,BCH,USD,4094943337.9730496,222.79,46915102.26809795,18380283.3967999,-0.3845293986139117
58,PLF,USD,3814516499.9999995,0.38145165,2006539.385142189,10000000000.0,-1.5213815789473935
