,symbol,quoteAssetName,tradedMoney,baseAssetUnit,baseAssetName,baseAsset,tickSize,prevClose,activeBuy,high,lastAggTradeId,low,matchingUnitType,close,quoteAsset,productType,parentMarket,active,minTrade,activeSell,withdrawFee,market,volume,marketName,decimalPlaces,parentMarketName,quoteAssetUnit,open,status,minQty
0,BNBBTC,Bitcoin,2772.6932586,,BNB,BNB,0.0000001,0.0022132,0.0,0.0022426,-1,0.0021704,STANDARD,0.0022224,BTC,,BTC,True,0.01,1255532.25,0,BTC,1255532.2500000,BTC,8,BTC,฿,0.0022132,TRADING,1e-08
1,NULSBTC,Bitcoin,9.17093603,,Nuls,NULS,0.00000001,2.777e-05,0.0,0.00002805,-1,0.00002741,STANDARD,0.00002786,BTC,,BTC,True,1.0,330717.0,0,BTC,330717.00000000,BTC,8,BTC,฿,0.00002777,TRADING,1e-08
2,NEOBTC,Bitcoin,124.04345757,,NEO,NEO,0.000001,0.001072,0.0,0.001075,-1,0.001057,STANDARD,0.001064,BTC,,BTC,True,0.01,116460.77,0,BTC,116460.770000,BTC,8,BTC,฿,0.001072,TRADING,1e-08
3,NULSETH,Ethereum,59.78944033,,Nuls,NULS,0.00000001,0.00114087,0.0,0.00116673,-1,0.00113512,STANDARD,0.00115180,ETH,,ALTS,True,1.0,51865.0,0,ETH,51865.00000000,ETH,8,ALTS,Ξ,0.00114087,TRADING,1e-08
4,LINKBTC,Bitcoin,1259.40295114,,ChainLink,LINK,0.00000001,0.00048778,0.0,0.00049442,-1,0.00048021,STANDARD,0.00049100,BTC,,BTC,True,1.0,2576830.0,0,BTC,2576830.00000000,BTC,8,BTC,฿,0.00048778,TRADING,1e-08
5,IOTABTC,Bitcoin,47.58877185,,MIOTA,IOTA,0.00000001,2.22e-05,0.0,0.00002243,-1,0.00002198,STANDARD,0.00002223,BTC,,BTC,True,1.0,2143404.0,0,BTC,2143404.00000000,BTC,8,BTC,฿,0.00002220,TRADING,1e-08
6,ETCBTC,Bitcoin,203.2684559,,Ethereum Classic,ETC,0.0000001,0.0007703,0.0,0.0007738,-1,0.0007584,STANDARD,0.0007671,BTC,,BTC,True,0.01,265776.32,0,BTC,265776.3200000,BTC,8,BTC,฿,0.0007703,TRADING,1e-08
7,ASTETH,Ethereum,14.3896078,,AirSwap,AST,0.0000001,8.07e-05,0.0,0.0000825,-1,0.0000797,STANDARD,0.0000825,ETH,,ALTS,True,1.0,177881.0,0,ETH,177881.0000000,ETH,8,ALTS,Ξ,0.0000807,TRADING,1e-08
8,KNCBTC,Bitcoin,34.14483879,,KyberNetwork,KNC,0.00000001,6.751e-05,0.0,0.00006799,-1,0.00006701,STANDARD,0.00006730,BTC,,BTC,True,1.0,505404.0,0,BTC,505404.00000000,BTC,8,BTC,฿,0.00006751,TRADING,1e-08
9,WTCBTC,Bitcoin,2501.5206103,,Walton,WTC,0.0000001,3.8e-05,0.0,0.0000477,-1,0.0000368,STANDARD,0.0000434,BTC,,BTC,True,0.01,58637593.21,0,BTC,58637593.2100000,BTC,8,BTC,฿,0.0000380,TRADING,1e-08
10,SNGLSBTC,Bitcoin,9.09663995,,Breaker,SNGLS,0.00000001,8.7e-07,0.0,0.00000089,-1,0.00000086,STANDARD,0.00000088,BTC,,BTC,True,1.0,10423878.0,0,BTC,10423878.00000000,BTC,8,BTC,฿,0.00000087,TRADING,1e-08
11,EOSETH,Ethereum,3398.47315239,,EOS,EOS,0.000001,0.0154,0.0,0.015509,-1,0.015258,STANDARD,0.015360,ETH,,ALTS,True,0.01,221011.25,0,ETH,221011.250000,ETH,8,ALTS,Ξ,0.015400,TRADING,1e-08
12,SNTETH,Ethereum,98.5942803,,Status,SNT,0.00000001,9.664e-05,0.0,0.00009796,-1,0.00009530,STANDARD,0.00009634,ETH,,ALTS,True,1.0,1020817.0,0,ETH,1020817.00000000,ETH,8,ALTS,Ξ,0.00009664,TRADING,1e-08
13,MCOETH,Ethereum,275.24374539,,MCO,MCO,0.000001,0.030288,0.0,0.030987,-1,0.029879,STANDARD,0.030278,ETH,,ALTS,True,0.01,9051.96,0,ETH,9051.960000,ETH,8,ALTS,Ξ,0.030288,TRADING,1e-08
14,BTCUSDT,TetherUS,381679973.74925923,฿,Bitcoin,BTC,0.01,7087.21,0.0,7148.12,-1,6972.98,STANDARD,7039.01,USDT,,USDⓈ,True,1e-06,54031.5811,0,USDT,54031.59,USDT,8,USDⓈ,,7087.21,TRADING,1e-08
15,OAXETH,Ethereum,28.4350945,,openANX,OAX,0.0000001,0.0001939,0.0,0.0001970,-1,0.0001922,STANDARD,0.0001962,ETH,,ALTS,True,1.0,146000.0,0,ETH,146000.0000000,ETH,8,ALTS,Ξ,0.0001939,TRADING,1e-08
16,OMGETH,Ethereum,80.96394783,,OmiseGO,OMG,0.000001,0.003287,0.0,0.003369,-1,0.003267,STANDARD,0.003357,ETH,,ALTS,True,0.01,24370.98,0,ETH,24370.980000,ETH,8,ALTS,Ξ,0.003287,TRADING,1e-08
17,GASBTC,Bitcoin,6.77555764,,NeoGas,GAS,0.0000001,0.0001583,0.0,0.0001596,-1,0.0001552,STANDARD,0.0001579,BTC,,BTC,True,0.01,43080.14,0,BTC,43080.1400000,BTC,8,BTC,฿,0.0001583,TRADING,1e-08
18,BQXETH,Ethereum,20.4558972,,Voyager,BQX,0.0000001,0.0001628,0.0,0.0001638,-1,0.0001586,STANDARD,0.0001589,ETH,,ALTS,True,1.0,127174.0,0,ETH,127174.0000000,ETH,8,ALTS,Ξ,0.0001628,TRADING,1e-08
19,WTCETH,Ethereum,3382.27410083,,Walton,WTC,0.000001,0.00157,0.0,0.001987,-1,0.001529,STANDARD,0.001796,ETH,,ALTS,True,0.01,1905703.64,0,ETH,1905703.640000,ETH,8,ALTS,Ξ,0.001570,TRADING,1e-08
20,QTUMETH,Ethereum,503.14243809,,Qtum,QTUM,0.000001,0.008153,0.0,0.008201,-1,0.008037,STANDARD,0.008111,ETH,,ALTS,True,0.01,61825.5,0,ETH,61825.500000,ETH,8,ALTS,Ξ,0.008153,TRADING,1e-08
21,BNTETH,Ethereum,58.05890972,,Bancor,BNT,0.000001,0.001078,0.0,0.001088,-1,0.001063,STANDARD,0.001077,ETH,,ALTS,True,0.01,53826.04,0,ETH,53826.040000,ETH,8,ALTS,Ξ,0.001078,TRADING,1e-08
22,SNMBTC,Bitcoin,3.18712007,,SONM,SNM,0.00000001,9.5e-07,0.0,0.00000096,-1,0.00000094,STANDARD,0.00000096,BTC,,BTC,True,1.0,3360739.0,0,BTC,3360739.00000000,BTC,8,BTC,฿,0.00000095,TRADING,1e-08
23,BQXBTC,Bitcoin,10.10878054,,Voyager,BQX,0.00000001,3.94e-06,0.0,0.00000398,-1,0.00000383,STANDARD,0.00000387,BTC,,BTC,True,1.0,2593843.0,0,BTC,2593843.00000000,BTC,8,BTC,฿,0.00000394,TRADING,1e-08
24,NEOETH,Ethereum,343.23935233,,NEO,NEO,0.000001,0.044283,0.0,0.044414,-1,0.043442,STANDARD,0.043896,ETH,,ALTS,True,0.01,7783.06,0,ETH,7783.060000,ETH,8,ALTS,Ξ,0.044283,TRADING,1e-08
25,KNCETH,Ethereum,163.3530683,,KyberNetwork,KNC,0.0000001,0.0027815,0.0,0.0028220,-1,0.0027550,STANDARD,0.0027734,ETH,,ALTS,True,1.0,58407.0,0,ETH,58407.0000000,ETH,8,ALTS,Ξ,0.0027815,TRADING,1e-08
26,STRATETH,Ethereum,113.15684655,,Stratis,STRAT,0.000001,0.00175,0.0,0.001787,-1,0.001726,STANDARD,0.001755,ETH,,ALTS,True,0.01,64060.26,0,ETH,64060.260000,ETH,8,ALTS,Ξ,0.001750,TRADING,1e-08
27,ZRXETH,Ethereum,161.67088109,,0x,ZRX,0.00000001,0.001005,0.0,0.00102359,-1,0.00099685,STANDARD,0.00101323,ETH,,ALTS,True,1.0,159982.0,0,ETH,159982.00000000,ETH,8,ALTS,Ξ,0.00100500,TRADING,1e-08
28,QTUMBTC,Bitcoin,71.71580357,,Qtum,QTUM,0.0000001,0.0001976,0.0,0.0001980,-1,0.0001955,STANDARD,0.0001966,BTC,,BTC,True,0.01,364595.63,0,BTC,364595.6300000,BTC,8,BTC,฿,0.0001976,TRADING,1e-08
29,FUNETH,Ethereum,18.95394172,,FunFair,FUN,0.00000001,1.044e-05,0.0,0.00001054,-1,0.00001027,STANDARD,0.00001034,ETH,,ALTS,True,1.0,1816053.0,0,ETH,1816053.00000000,ETH,8,ALTS,Ξ,0.00001044,TRADING,1e-08
30,LTCBTC,Bitcoin,438.93274844,Ł,Litecoin,LTC,0.000001,0.005988,0.0,0.006031,-1,0.005911,STANDARD,0.006006,BTC,,BTC,True,0.01,73510.21,0,BTC,73510.210000,BTC,8,BTC,฿,0.005988,TRADING,1e-08
31,LINKETH,Ethereum,4820.30343701,,ChainLink,LINK,0.00000001,0.02014333,0.0,0.02048084,-1,0.01996135,STANDARD,0.02030791,ETH,,ALTS,True,1.0,237912.0,0,ETH,237912.00000000,ETH,8,ALTS,Ξ,0.02014333,TRADING,1e-08
