timeStamp,blockNumber,blockReward
2017-04-02 07:35:14,3462296,5194770940000000000
2016-11-25 11:07:09,2691400,5086562212310617100
2016-11-24 20:20:52,2687700,5003251945421042780
2016-11-24 04:42:37,2683816,5001383656218938700
2016-11-23 10:37:52,2679545,5020577105778940320
2016-11-22 08:00:52,2672925,5036170186197654897
2016-11-22 05:49:16,2672392,5040843500234248393
2016-11-22 00:45:25,2671141,5006088055733760000
2016-11-20 23:04:17,2664645,5008800961000000000
2016-11-20 22:22:20,2664477,5014109439959925732
2016-11-20 08:31:08,2660846,5000000000000000000
2016-11-17 07:31:48,2642337,5004105076553280000
2016-11-17 04:01:20,2641419,5000000000000000000
2016-11-16 23:38:16,2640300,5023598697640000000
2016-11-16 21:48:27,2639848,5005179590280000000
2016-11-16 10:50:29,2637051,5002213960000000000
2016-11-16 04:49:41,2635543,5014593209013280000
2016-11-16 02:52:15,2635084,5029959474298725916
2016-11-15 11:51:32,2631348,5000000000000000000
2016-11-15 09:37:48,2630767,5003950697023093000
2016-11-15 01:09:13,2628591,5041163634527265335
2016-11-14 16:58:57,2626533,5043977462285845780
2016-11-14 10:06:46,2624792,5024064039594111238
2016-11-14 03:54:26,2623221,5162992739180923544
2016-11-14 03:43:17,2623178,5037531887125386230
2016-11-13 18:29:51,2620849,5001449820524157080
2016-11-13 16:45:19,2620401,5017784804505219936
2016-11-13 16:06:23,2620223,5016743452592193200
2016-11-13 13:46:54,2619602,5048257347055762800
2016-11-13 12:20:20,2619248,5015020109730860860
2016-11-13 03:09:52,2616908,5004965567064346903
2016-11-12 13:59:55,2613519,5312500000000000000
2016-11-12 06:22:25,2611583,5025140000000000000
2016-11-12 04:00:37,2610998,5003300160000000000
2016-11-11 19:40:41,2608964,5005775000000000000
2016-11-11 15:55:19,2608003,5014280513000000000
2016-11-11 05:53:32,2605458,5021600000000000000
2016-11-11 01:46:58,2604437,5016790784000000000
2016-11-10 16:40:22,2602203,5001050000000000000
2016-11-10 12:11:11,2601042,5000630000000000000
2016-11-09 20:48:05,2597278,5008721043000000000
2016-11-09 11:57:52,2595078,5000000000000000000
2016-11-09 11:12:24,2594874,5010360855000000000
2016-11-09 07:55:11,2594085,5000630000000000000
2016-11-08 13:05:46,2589303,5000000000000000000
2016-11-08 06:48:45,2587630,5000000000000000000
2016-11-08 06:14:32,2587492,5001601206408472790
2016-11-07 12:03:54,2582792,5001365501320122590
2016-11-07 11:57:12,2582768,5000000000000000000
2016-11-07 06:50:46,2581395,5000000000000000000
2016-11-06 22:20:13,2579198,5000000000000000000
2016-11-06 19:08:07,2578350,5000483000000000000
2016-11-06 11:43:43,2576465,5006452108349175690
2016-11-06 09:53:51,2575994,5002825220000000000
2016-11-05 18:17:30,2572117,5000000000000000000
2016-11-05 16:46:33,2571754,5001050000000000000
2016-11-05 15:15:31,2571378,5005182900000000000
2016-11-05 11:11:57,2570394,5005480530693425990
2016-11-05 10:43:59,2570289,5001260000000000000
2016-11-05 08:12:25,2569628,5006822799808940516
2016-11-05 07:28:16,2569427,5003461277779839662
2016-11-05 05:22:22,2568897,5000000000000000000
2016-11-05 05:16:41,2568870,5000000000000000000
2016-11-05 04:20:42,2568643,5000630000000000000
2016-11-05 02:29:01,2568175,5008917480000000000
2016-11-04 16:57:51,2565878,5157300000000000000
2016-11-04 15:29:46,2565499,5003463055555517390
2016-11-04 15:16:56,2565449,5000000000000000000
2016-11-03 16:57:45,2559919,5159235850000000000
2016-11-03 16:40:42,2559848,5019833328674076332
2016-11-03 16:24:04,2559789,5017437162283654730
2016-11-03 04:58:39,2556923,5001370514963904520
2016-11-02 22:38:13,2555381,5000000000000000000
2016-11-02 20:29:56,2554840,5000572500000000000
2016-11-02 16:06:17,2553732,5004149254000000000
2016-11-02 09:46:16,2552154,5007490760224892420
2016-11-02 07:58:19,2551689,5000525000000000000
2016-11-02 07:30:15,2551566,5005249234452762580
2016-11-02 06:25:02,2551317,5007174489283419002
2016-11-01 21:10:29,2549087,5000630696828489000
2016-11-01 19:49:50,2548741,5171767179995700000
2016-11-01 07:46:24,2545814,5004573292002100000
2016-10-30 21:23:54,2537178,5001890000000000000
2016-10-30 16:46:27,2535977,5000000000000000000
2016-10-30 14:16:32,2535314,5028022219859376171
2016-10-30 11:23:37,2534558,5000000000000000000
2016-10-30 10:26:45,2534345,5000000000000000000
2016-10-29 08:51:10,2528144,5013512613018051300
2016-10-28 03:00:53,2520876,5003871536553332000
2016-10-28 01:01:45,2520416,5002523635000000000
2016-10-27 20:55:21,2519399,5000915767999916000
2016-10-27 12:35:09,2517315,5001421546380968000
2016-10-27 01:44:27,2514582,5013509399823209520
2016-10-27 01:17:31,2514472,5000449797501356000
2016-10-27 00:26:47,2514254,5001365000000000000
2016-10-26 15:54:22,2512085,5021645534869117867
2016-10-26 09:19:21,2510433,5029964141803944908
2016-10-26 03:26:41,2508900,5004643569479670000
2016-10-26 02:55:00,2508774,5005739467000000000
2016-10-25 12:37:44,2505211,5066516880499707690
2016-10-24 21:48:03,2501481,5001641797640000000
2016-10-24 16:39:11,2500177,5004619996640000000
